product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Каша из дробленной пшеничной крупы,9127,949,Бакалея,Является неотъемлемой частью рациона многих народов мира.,2008-05-02,2022-01-13,4.53,Returned
2,Пензенская,9669,300,Напитки,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1994-04-05,2007-04-03,4.68,Delivered
3,Каша из дробленой перловки,4089,17,Бакалея,Подходит для использования в рационе людей с повышенным давлением.,2011-08-01,2029-01-23,4.18,Shipping
4,Пакеты для школы,5979,953,Товары для дома,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2010-01-04,2030-04-04,2.54,Cancelled
5,Конфи,8389,101,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1993-02-01,2018-04-04,4.23,Pending
6,Эндивий,4702,218,Овощи,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1993-04-23,2006-01-01,3.66,Cancelled
7,Новотерская,6536,442,Напитки,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2022-01-01,2024-01-16,4.2,Available for Pickup
8,Хурма,5126,573,Фрукты,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2014-09-03,2028-02-12,0.29,Pending
9,Каша из дробленой пшеницы,5638,539,Бакалея,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1990-08-12,2007-02-13,1.83,Refunded
10,Пакеты для путешествий,8911,809,Товары для дома,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2021-07-04,2029-03-07,2.97,Out of Stock
11,Морковь,2415,145,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1996-02-08,2008-06-08,0.33,In Stock
12,Блины с мясом,7035,941,Мясо,Отличается хорошим сочетанием с различными специями и приправами.,2008-06-02,2030-07-09,2.47,Cancelled
13,Пакеты для концерта,3931,242,Товары для дома,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1990-02-04,2004-01-07,4.81,Awaiting Payment
14,Ласси,7134,820,Молочные продукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2022-02-03,2026-07-24,2.3,Pending
15,Пакеты для барбекю,8273,356,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2012-04-19,2024-12-01,4.35,Refunded
16,Чувашская,2679,299,Напитки,"Является источником важных микроэлементов, таких как магний и калий.",1998-01-13,2008-01-01,3.97,Out of Stock
17,Архыз,2452,13,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2019-06-04,2023-03-17,1.27,Temporarily Unavailable
18,Симферопольская,126,350,Напитки,Помогает сохранять бодрость и активность в течение дня.,2018-01-05,2020-05-02,4.75,On Backorder
19,Манго,6631,444,Фрукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1990-12-05,2011-06-13,0.93,Awaiting Payment
