Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Капуста белокочанная,7385,337,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2000-01-05,2005-02-08,1.18:,On Backorder
2,Пастрома,6655,208,Мясо,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1994-03-18,2019-02-03,2.29:,New
3,Катык,8276,689,Молочные продукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",1998-03-15,2027-03-22,2.56:,Pending
4,Миргородская,2602,455,Напитки,Прошел строгий контроль качества на всех этапах производства.,2016-05-16,2020-01-04,0.51:,Out of Stock
5,Шаурма,3621,896,Мясо,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2022-02-01,2026-01-19,0.01:,Returned
6,Черный перец горошком,4642,951,Бакалея,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2013-01-28,2018-01-06,2.09:,Sold
7,Малина,6152,259,Фрукты,Подходит для использования в диетических программах для похудения.,2019-03-01,2022-10-06,3.07:,New
8,Портулак,9152,565,Овощи,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2021-01-11,2022-05-12,0.74:,Returned
9,Рамбутан,731,91,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1993-02-08,1999-01-01,4.38:,Shipping
10,Соль,2877,146,Бакалея,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1993-01-16,2015-05-24,3.41:,Out of Stock
11,Моцарелла,2800,344,Молочные продукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2021-03-16,2022-01-13,0.11:,Awaiting Payment
12,Патиссон,5189,10,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2021-05-01,2024-01-01,0.62:,Pending
13,Киви,2422,283,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2008-06-13,2019-01-17,2.73:,Backorder
14,Утка,6978,407,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1996-04-04,2023-03-08,3.45:,Awaiting Payment
15,Каша из полбы,596,624,Бакалея,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1996-02-08,2002-03-19,3.65:,In Stock
16,Пастернак,2918,265,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2002-03-02,2017-07-07,2.43:,New
17,Масло сливочное,5611,558,Молочные продукты,Поддерживает иммунитет и общее состояние здоровья.,1990-03-20,2014-01-15,4.64:,Temporarily Unavailable
18,Абрикос,6919,380,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,2012-08-11,2024-06-02,4.0:,Backorder
19,Кефир,1713,345,Напитки,Способствует нормализации обмена веществ в организме.,2009-04-03,2023-02-02,0.38:,Refunded
20,Помидор,6983,482,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,1999-04-07,2004-07-04,3.91:,Backorder
21,Смоленская,3659,49,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2018-04-06,2027-03-04,0.77:,On Backorder
22,Блендер,2895,680,Товары для дома,Помогает поддерживать здоровый цвет лица и упругость кожи.,1995-01-08,2018-03-12,0.85:,Out of Stock
23,Творог,4123,567,Молочные продукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2007-07-01,2013-04-08,2.91:,Out of Stock
24,Нафтуся,2100,637,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,2000-02-03,2000-07-09,2.78:,Available for Pickup
25,Гусиные потроха,5344,332,Мясо,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2020-03-19,2021-04-18,0.63:,Returned
26,Творог,6051,878,Молочные продукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1990-05-02,2025-03-07,1.73:,Cancelled
27,Черника,249,303,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2015-01-04,2017-04-11,4.16:,Pending
28,Ряженка,9287,472,Молочные продукты,Представляет собой ценный источник питательных веществ для растущего организма.,1993-01-10,2006-03-20,4.06:,Awaiting Review
29,Магаданская,1671,413,Напитки,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2011-01-01,2023-05-14,0.82:,Awaiting Payment
30,Козлятина,7007,783,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2005-01-04,2012-01-04,2.4:,Sold
31,Сок морковный,3045,5,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2019-08-01,2030-05-06,4.4:,Awaiting Payment
32,Камамбер,8546,417,Молочные продукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2008-02-08,2013-01-04,3.26:,Delivered
33,Мандарин,3916,592,Фрукты,Подходит для использования в рецептах традиционной кухни разных стран.,2001-06-07,2005-01-17,0.75:,Out of Stock
34,Косулятина,4473,102,Мясо,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1997-02-19,2015-01-05,0.64:,Awaiting Review
